Year,Inflation,Infl2003Base,Infl2013Base,Infl2012Base
1997-01-01,1.085,0.798146388,1.721181426,1.666196927
1998-01-01,1.107,0.883548051,1.586342328,1.53566537
1999-01-01,1.021,0.90210256,1.433010233,1.38723159
2000-01-01,1.039,0.93728456,1.403535977,1.358698913
2001-01-01,1.047,0.981336934,1.350852721,1.307698665
2002-01-01,1.018,0.999000999,1.290212723,1.24899586
2003-01-01,1.001,1,1.267399532,1.226911454
2004-01-01,1.028,1.028,1.266133398,1.225685768
2005-01-01,1.019,1.047532,1.231647274,1.192301331
2006-01-01,1.025,1.0737203,1.208682311,1.170070001
2007-01-01,1.028,1.103784468,1.179202254,1.141531708
2008-01-01,1.063,1.17332289,1.147083905,1.110439405
2009-01-01,1.01,1.185056119,1.079100569,1.04462785
2010-01-01,1.015,1.202831961,1.068416405,1.034285
2011-01-01,1.019,1.225685768,1.052627,1.019
2012-01-01,1.033,1.266133398,1.033,1
2013-01-01,1.018,1.288924,1,0.982318271
